,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
0,Afghanistan,AFG,2021-05-11,504502.0,448878.0,55624.0,12,40064421.0,1.120390582956384
1,Afghanistan,AFG,2021-05-20,547901.0,470341.0,77560.0,10,40064421.0,1.1739618051637388
2,Afghanistan,AFG,2021-05-24,573277.0,476367.0,96910.0,10,40064421.0,1.189002581617241
3,Afghanistan,AFG,2021-05-26,590454.0,479372.0,111082.0,19,40064421.0,1.1965030020026997
4,Afghanistan,AFG,2021-05-27,593313.0,479574.0,113739.0,14,40064421.0,1.1970071899953327
5,Afghanistan,AFG,2021-05-30,600152.0,480226.0,119926.0,20,40064421.0,1.1986345690606635
6,Afghanistan,AFG,2021-06-02,626290.0,481690.0,144600.0,34,40064421.0,1.2022886840171731
7,Afghanistan,AFG,2021-06-03,630305.0,481800.0,148505.0,27,40064421.0,1.202563241834944
8,Afghanistan,AFG,2021-06-08,641295.0,482952.0,158343.0,64,40064421.0,1.2054386109810498
9,Afghanistan,AFG,2021-06-14,662003.0,484737.0,177266.0,85,40064421.0,1.209893935569417
10,Afghanistan,AFG,2021-06-22,765890.0,582128.0,183762.0,78,40064421.0,1.4529799394829643
11,Afghanistan,AFG,2021-06-27,835694.0,649434.0,186260.0,56,40064421.0,1.62097438023627
12,Afghanistan,AFG,2021-06-30,886854.0,699200.0,187654.0,77,40064421.0,1.745189328955983
13,Afghanistan,AFG,2021-07-05,915671.0,726349.0,189322.0,84,40064421.0,1.8129526943619128
14,Afghanistan,AFG,2021-07-07,934463.0,735213.0,199250.0,55,40064421.0,1.8350770625138946
15,Afghanistan,AFG,2021-07-11,962093.0,742934.0,219159.0,86,40064421.0,1.8543485253412249
16,Afghanistan,AFG,2021-08-20,1201286.0,770542.0,430744.0,7,40064421.0,1.9232575456413061
17,Albania,ALB,2021-02-02,550.0,549.0,1.0,13,2871560.0,0.019118527908175347
18,Albania,ALB,2021-02-09,1127.0,689.0,438.0,12,2871560.0,0.02399392664614356
19,Albania,ALB,2021-02-17,1701.0,1090.0,611.0,15,2871560.0,0.037958461602752507
20,Albania,ALB,2021-02-18,3049.0,2438.0,611.0,18,2871560.0,0.08490158659404645
21,Albania,ALB,2021-02-22,6728.0,6073.0,655.0,13,2871560.0,0.21148783239772112
22,Albania,ALB,2021-05-11,622507.0,440921.0,181586.0,4,2871560.0,15.354754906740586
23,Albania,ALB,2021-05-12,632676.0,444755.0,187921.0,4,2871560.0,15.488271183607516
24,Albania,ALB,2021-05-13,638338.0,445402.0,192936.0,3,2871560.0,15.510802490632269
25,Albania,ALB,2021-05-14,653330.0,448571.0,204759.0,3,2871560.0,15.621160623493848
26,Albania,ALB,2021-05-17,680083.0,456980.0,223103.0,3,2871560.0,15.913997966262242
