iso_code,country,2021_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
CHN,China,"1,445,426,055","1,439,323,776","9,706,961 sq_km",149/sq_km,0.34%,18.34%,1
IND,India,"1,396,764,493","1,380,004,385","3,287,590 sq_km",424/sq_km,0.97%,17.69%,2
USA,United States,"333,400,608","331,002,651","9,372,610 sq_km",36/sq_km,0.58%,4.23%,3
IDN,Indonesia,"277,073,291","273,523,615","1,904,569 sq_km",145/sq_km,1.04%,3.51%,4
PAK,Pakistan,"226,272,141","220,892,340","881,912 sq_km",255/sq_km,1.95%,2.86%,5
BRA,Brazil,"214,349,923","212,559,417","8,515,767 sq_km",25/sq_km,0.67%,2.72%,6
NGA,Nigeria,"212,720,119","206,139,589","923,768 sq_km",229/sq_km,2.55%,2.68%,7
BGD,Bangladesh,"166,704,373","164,689,383","147,570 sq_km","1,127/sq_km",0.98%,2.11%,8
RUS,Russia,"145,906,900","145,934,462","17,098,242 sq_km",9/sq_km,-0.02%,1.85%,9
MEX,Mexico,"130,595,089","128,932,753","1,964,375 sq_km",66/sq_km,1.03%,1.65%,10
JPN,Japan,"125,945,368","126,476,461","377,930 sq_km",334/sq_km,-0.34%,1.60%,11
ETH,Ethiopia,"118,604,209","114,963,588","1,104,300 sq_km",107/sq_km,2.53%,1.50%,12
PHL,Philippines,"111,414,748","109,581,078","342,353 sq_km",324/sq_km,1.34%,1.41%,13
EGY,Egypt,"104,739,194","102,334,404","1,002,450 sq_km",104/sq_km,1.88%,1.32%,14
VNM,Vietnam,"98,375,677","97,338,579","331,212 sq_km",296/sq_km,0.85%,1.25%,15
COD,Dr Congo,"93,083,186","89,561,403","2,344,858 sq_km",39/sq_km,3.14%,1.17%,16
TUR,Turkey,"85,230,454","84,339,067","783,562 sq_km",109/sq_km,0.83%,1.08%,17
IRN,Iran,"85,282,830","83,992,949","1,648,195 sq_km",52/sq_km,1.23%,1.08%,18
DEU,Germany,"83,932,415","83,783,942","357,114 sq_km",235/sq_km,0.14%,1.07%,19
THA,Thailand,"69,988,558","69,799,978","513,120 sq_km",136/sq_km,0.22%,0.89%,20
GBR,United Kingdom,"68,289,488","67,886,011","242,900 sq_km",281/sq_km,0.47%,0.87%,21
FRA,France,"65,466,083","65,273,511","551,695 sq_km",119/sq_km,0.23%,0.83%,22
TZA,Tanzania,"61,940,498","59,734,218","945,087 sq_km",65/sq_km,2.95%,0.78%,23
ITA,Italy,"60,347,525","60,461,826","301,336 sq_km",200/sq_km,-0.16%,0.77%,24
ZAF,South Africa,"60,225,683","59,308,690","1,221,037 sq_km",49/sq_km,1.24%,0.76%,25
KEN,Kenya,"55,290,565","53,771,296","580,367 sq_km",95/sq_km,2.26%,0.70%,26
MMR,Myanmar,"54,904,400","54,409,800","676,578 sq_km",81/sq_km,0.73%,0.70%,27
KOR,South Korea,"51,316,260","51,269,185","100,210 sq_km",512/sq_km,0.07%,0.65%,28
COL,Colombia,"51,367,070","50,882,891","1,141,748 sq_km",45/sq_km,0.75%,0.65%,29
UGA,Uganda,"47,471,322","45,741,007","241,550 sq_km",195/sq_km,3.02%,0.60%,30
ESP,Spain,"46,741,647","46,754,778","505,992 sq_km",92/sq_km,-0.02%,0.59%,31
ARG,Argentina,"45,708,424","45,195,774","2,780,400 sq_km",16/sq_km,0.91%,0.58%,32
SDN,Sudan,"45,174,132","43,849,260","1,886,068 sq_km",24/sq_km,2.42%,0.57%,33
DZA,Algeria,"44,805,713","43,851,044","2,381,741 sq_km",19/sq_km,1.75%,0.57%,34
UKR,Ukraine,"43,401,105","43,733,762","603,500 sq_km",72/sq_km,-0.61%,0.55%,35
IRQ,Iraq,"41,421,980","40,222,493","438,317 sq_km",94/sq_km,2.38%,0.52%,36
AFG,Afghanistan,"40,064,421","38,928,346","652,230 sq_km",61/sq_km,2.33%,0.51%,37
CAN,Canada,"38,150,000","37,742,154","9,984,670 sq_km",4/sq_km,0.86%,0.48%,38
POL,Poland,"37,783,185","37,846,611","312,679 sq_km",121/sq_km,-0.13%,0.48%,39
MAR,Morocco,"37,452,976","36,910,560","446,550 sq_km",84/sq_km,1.18%,0.47%,40
SAU,Saudi Arabia,"35,475,956","34,813,871","2,149,690 sq_km",16/sq_km,1.51%,0.45%,41
UZB,Uzbekistan,"34,051,358","33,469,203","447,400 sq_km",76/sq_km,1.39%,0.43%,42
AGO,Angola,"34,202,233","32,866,272","1,246,700 sq_km",27/sq_km,3.25%,0.43%,43
PER,Peru,"33,456,067","32,971,854","1,285,216 sq_km",26/sq_km,1.18%,0.42%,44
MYS,Malaysia,"32,877,786","32,365,999","330,803 sq_km",99/sq_km,1.27%,0.42%,45
MOZ,Mozambique,"32,389,661","31,255,435","801,590 sq_km",40/sq_km,2.90%,0.41%,46
GHA,Ghana,"31,897,147","31,072,940","238,533 sq_km",133/sq_km,2.12%,0.40%,47
YEM,Yemen,"30,657,031","29,825,964","527,968 sq_km",58/sq_km,2.23%,0.39%,48
NPL,Nepal,"29,796,281","29,136,808","147,181 sq_km",202/sq_km,1.85%,0.38%,49
VEN,Venezuela,"28,763,529","28,435,940","916,445 sq_km",31/sq_km,0.95%,0.36%,50
MDG,Madagascar,"28,611,474","27,691,018","587,041 sq_km",48/sq_km,2.66%,0.36%,51
